,price,rooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,bathrooms_1,bathrooms_2,bathrooms_3
0,750.0,689.5390471579225,706.8106482790962,701.970873786407,701.7385556407845,705.692305461913,0.4255319148936171,0.121496818109301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,750.0,704.5562854110732,706.3623985353242,701.970873786407,678.7988667568208,696.3333379576432,0.5319148936170213,0.2829489656639427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,684.0,695.0776273114345,706.8106482790962,686.9905878074868,682.8892293349359,681.6670657879246,0.2659574468085106,0.1856486979951429,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3,600.0,704.5562854110732,686.2018620137912,701.970873786407,701.7385556407845,696.3333379576432,0.5638297872340425,0.6537322957474342,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,600.0,689.5390471579225,687.6498585485582,701.970873786407,710.5365065594968,696.3333379576432,0.5425531914893618,0.7789516600783508,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,550.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.8724271670624579,0.6734192777941136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,700.0,695.0776273114345,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.0851063829787233,0.0954744473791501,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
7,700.0,704.5562854110732,699.2127094500911,701.970873786407,701.7385556407845,705.692305461913,0.7021276595744681,0.5489869356354032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,700.0,689.5390471579225,706.8106482790962,701.970873786407,702.9283352403625,696.3333379576432,0.2659574468085106,0.0330243029089039,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,550.0,704.5562854110732,688.9581124174473,701.970873786407,695.1528188869772,696.3333379576432,0.3617021276595744,0.4617729955861238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,695.0,704.5562854110732,706.3623985353242,701.970873786407,710.5365065594968,696.3333379576432,0.4680851063829787,0.2758938542534522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,650.0,704.5562854110732,695.6770603946825,701.970873786407,678.7988667568208,696.3333379576432,0.5106382978723404,0.7485331395245778,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,700.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,705.692305461913,0.1063829787234042,0.0543137220144293,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,700.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.1595744680851063,0.0303298885008774,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,700.0,689.5390471579225,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.2446808510638297,0.0754967826564798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15,650.0,704.5562854110732,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.4255319148936171,0.0673958130218212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16,700.0,710.948085191854,690.7221836842307,701.970873786407,678.7988667568208,696.3333379576432,0.904255319148936,0.7767713115771189,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17,695.0,689.5390471579225,706.8106482790962,701.970873786407,712.0699594988107,705.692305461913,0.2127659574468085,0.0370127452892063,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,675.0,689.5390471579225,697.4841470922099,701.970873786407,678.7988667568208,696.3333379576432,0.2127659574468085,0.4143193944658146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19,750.0,695.0776273114345,706.8106482790962,701.970873786407,678.7988667568208,705.692305461913,0.2659574468085106,0.0149610905287788,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
