,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
0,750.0,flat,True,1,1,Madrid,good,3,True,0.4255319148936171,0.121496818109301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,750.0,flat,True,2,1,San Sebastián de los Reyes,good,bj,False,0.5319148936170213,0.2829489656639427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,684.0,studio,True,0,1,Madrid,desconocido,desconocido,desconocido,0.2659574468085106,0.1856486979951429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,600.0,flat,True,2,1,Manzanares el Real,good,3,False,0.5638297872340425,0.6537322957474342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,600.0,duplex,True,1,1,Miraflores de la Sierra,good,1,False,0.5425531914893618,0.7789516600783508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,550.0,flat,True,1,1,Madrid,good,1,False,0.8724271670624579,0.6734192777941136,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,700.0,studio,True,0,1,Madrid,good,1,False,0.0851063829787233,0.0954744473791501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,700.0,duplex,True,2,1,Galapagar,good,3,True,0.7021276595744681,0.5489869356354032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,700.0,flat,False,1,1,Madrid,good,5,False,0.2659574468085106,0.0330243029089039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,550.0,flat,True,2,1,Arganda,good,en,False,0.3617021276595744,0.4617729955861238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
10,695.0,flat,True,2,1,San Sebastián de los Reyes,good,1,False,0.4680851063829787,0.2758938542534522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,650.0,flat,True,2,1,San Lorenzo de el Escorial,good,bj,False,0.5106382978723404,0.7485331395245778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,700.0,flat,False,1,1,Madrid,good,1,True,0.1063829787234042,0.0543137220144293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
