,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
0,750.0,flat,60.0,True,1,1,Madrid,7037,good,3,Hortaleza,True
1,750.0,flat,70.0,True,2,1,San Sebastián de los Reyes,16145,good,bj,Centro Urbano,False
2,400.0,penthouse,67.0,True,2,2,Villamanrique de Tajo,55041,good,2,desconocido,False
3,590.0,flat,70.0,True,3,2,Rascafría,56596,good,desconocido,desconocido,False
4,684.0,studio,45.0,True,0,1,Madrid,10656,desconocido,desconocido,desconocido,desconocido
5,600.0,flat,73.0,True,2,1,Manzanares el Real,37062,good,3,desconocido,False
6,600.0,duplex,71.0,True,1,1,Miraflores de la Sierra,44126,good,1,desconocido,False
7,550.0,flat,53.0,True,1,1,Madrid,4008,good,1,Puente de Vallecas,False
8,700.0,studio,28.0,True,0,1,Madrid,5569,good,1,Ciudad Lineal,False
9,700.0,duplex,86.0,True,2,1,Galapagar,31153,good,3,Casco Antiguo,True
10,700.0,flat,45.0,False,1,1,Madrid,2046,good,5,Moncloa,False
11,550.0,flat,54.0,True,2,1,Arganda,26233,good,en,Centro,False
12,695.0,flat,64.0,True,2,1,San Sebastián de los Reyes,15747,good,1,Centro Urbano,False
13,650.0,flat,68.0,True,2,1,San Lorenzo de el Escorial,42410,good,bj,Centro - Casco Histórico,False
14,700.0,flat,30.0,False,1,1,Madrid,3247,good,1,Retiro,True
15,700.0,flat,35.0,False,1,1,Madrid,1894,good,1,Arganzuela,False
16,700.0,flat,43.0,True,1,1,Madrid,4442,good,2,Latina,True
17,650.0,flat,60.0,True,2,1,Madrid,3985,good,1,Puente de Vallecas,False
19,700.0,flat,105.0,True,3,2,Aranjuez,44003,good,bj,Centro,False
20,695.0,flat,40.0,False,1,1,Madrid,2271,good,4,Barrio de Salamanca,True
21,675.0,flat,40.0,True,1,1,Villanueva del Pardillo,23556,good,bj,Centro,False
22,750.0,studio,45.0,False,0,1,Madrid,1027,good,bj,Centro,True
23,750.0,flat,99.0,True,3,2,Aranjuez,43492,good,1,Centro,True
24,680.0,flat,38.0,False,1,1,Madrid,2591,good,1,Retiro,True
25,750.0,flat,51.0,True,1,1,Madrid,11896,good,1,Barajas,True
26,750.0,penthouse,60.0,True,1,1,Las Rozas de Madrid,21316,good,2,Las Matas- Peñascales,False
27,750.0,studio,25.0,False,0,1,Madrid,533,good,4,Centro,True
28,750.0,flat,40.0,False,1,1,Madrid,1989,good,1,Arganzuela,False
